Country Name,Country Code,AgeDependancy
Aruba,ABW,47.03225273
Africa Eastern and Southern,AFE,80.84698646
Afghanistan,AFG,80.0882595
Africa Western and Central,AFW,85.29127052
Angola,AGO,94.50267233
Albania,ALB,46.93010865
Andorra,AND,
Arab World,ARB,61.01996298
United Arab Emirates,ARE,19.15896211
Argentina,ARG,55.76766101
Armenia,ARM,48.44552785
American Samoa,ASM,
Antigua and Barbuda,ATG,45.31317238
Australia,AUS,55.05194054
Austria,AUT,50.63910773
Azerbaijan,AZE,43.38338977
Burundi,BDI,90.95652981
Belgium,BEL,56.95681092
Benin,BEN,82.55851512
Burkina Faso,BFA,87.90397401
Bangladesh,BGD,47.01892285
Bulgaria,BGR,56.61068912
Bahrain,BHR,26.47584588
"Bahamas, The",BHS,41.54165107
Bosnia and Herzegovina,BIH,48.01270067
Belarus,BLR,48.85504808
Belize,BLZ,51.99405206
Bermuda,BMU,
Bolivia,BOL,60.48828849
Brazil,BRA,43.47505641
Barbados,BRB,50.29104279
Brunei Darussalam,BRN,38.68493046
Bhutan,BTN,45.13615237
Botswana,BWA,61.07186033
Central African Republic,CAF,86.35807657
Canada,CAN,51.23928687
Central Europe and the Baltics,CEB,53.16432711
Switzerland,CHE,51.64421034
Channel Islands,CHI,49.00922212
Chile,CHL,45.94574765
China,CHN,42.20722863
Cote d'Ivoire,CIV,79.82714059
Cameroon,CMR,81.09409198
"Congo, Dem. Rep.",COD,95.36538448
"Congo, Rep.",COG,78.67675201
Colombia,COL,45.44213103
Comoros,COM,72.78812891
Cabo Verde,CPV,48.95860683
Costa Rica,CRI,45.09813416
Caribbean small states,CSS,48.18064439
Cuba,CUB,46.65796383
Curacao,CUW,55.87129211
Cayman Islands,CYM,
Cyprus,CYP,44.89803756
Czech Republic,CZE,56.00269927
Germany,DEU,55.38336207
Djibouti,DJI,50.64496652
Dominica,DMA,
Denmark,DNK,57.34583486
Dominican Republic,DOM,53.76818306
Algeria,DZA,60.06772474
East Asia & Pacific (excluding high income),EAP,44.11936466
Early-demographic dividend,EAR,52.73753206
East Asia & Pacific,EAS,45.42679512
Europe & Central Asia (excluding high income),ECA,51.24395556
Europe & Central Asia,ECS,53.90916449
Ecuador,ECU,53.8059722
"Egypt, Arab Rep.",EGY,64.61639042
Euro area,EMU,56.55580445
Eritrea,ERI,83.92980596
Spain,ESP,52.38577873
Estonia,EST,58.40674158
Ethiopia,ETH,76.84882718
European Union,EUU,55.99465596
Fragile and conflict affected situations,FCS,79.34503016
Finland,FIN,62.38934441
Fiji,FJI,53.44183053
France,FRA,62.35640565
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,55.23868652
Gabon,GAB,68.89815016
United Kingdom,GBR,57.06137406
Georgia,GEO,54.97561867
Ghana,GHA,67.42427908
Gibraltar,GIB,
Guinea,GIN,85.1895639
"Gambia, The",GMB,86.85103343
Guinea-Bissau,GNB,81.20210408
Equatorial Guinea,GNQ,64.3672963
Greece,GRC,56.10441896
Grenada,GRD,50.53313176
Greenland,GRL,
Guatemala,GTM,62.29674919
Guam,GUM,52.42614986
Guyana,GUY,53.21304463
High income,HIC,54.26670643
"Hong Kong SAR, China",HKG,44.65332928
Honduras,HND,55.18643242
Heavily indebted poor countries (HIPC),HPC,83.42629945
Croatia,HRV,55.74817985
Haiti,HTI,60.38123152
Hungary,HUN,52.83921018
IBRD only,IBD,47.88766598
IDA & IBRD total,IBT,54.6173348
IDA total,IDA,73.79000236
IDA blend,IDB,73.11797589
Indonesia,IDN,47.48940519
IDA only,IDX,74.13063663
Isle of Man,IMN,
India,IND,48.66462031
Not classified,INX,
Ireland,IRL,54.82323599
"Iran, Islamic Rep.",IRN,45.57958596
Iraq,IRQ,69.94223676
Iceland,ISL,53.95555593
Israel,ISR,67.34389298
Italy,ITA,56.9592203
Jamaica,JAM,48.00765339
Jordan,JOR,58.24673154
Japan,JPN,69.04978924
Kazakhstan,KAZ,58.84859739
Kenya,KEN,69.77580096
Kyrgyz Republic,KGZ,59.68506798
Cambodia,KHM,55.70939635
Kiribati,KIR,67.03398126
St. Kitts and Nevis,KNA,
"Korea, Rep.",KOR,39.53562804
Kuwait,KWT,32.44684216
Latin America & Caribbean (excluding high income),LAC,48.88736012
Lao PDR,LAO,56.7555735
Lebanon,LBN,48.40724224
Liberia,LBR,77.59052762
Libya,LBY,47.73360647
St. Lucia,LCA,39.36974407
Latin America & Caribbean,LCN,49.11055719
Least developed countries: UN classification,LDC,75.61213258
Low income,LIC,82.83918506
Liechtenstein,LIE,
Sri Lanka,LKA,53.65162543
Lower middle income,LMC,55.86683763
Low & middle income,LMY,54.60897888
Lesotho,LSO,59.20232815
Late-demographic dividend,LTE,43.92172015
Lithuania,LTU,56.48452793
Luxembourg,LUX,42.75183499
Latvia,LVA,59.0317997
"Macao SAR, China",MAC,35.73287458
St. Martin (French part),MAF,
Morocco,MAR,52.38010744
Monaco,MCO,
Moldova,MDA,39.62844536
Madagascar,MDG,75.94244879
Maldives,MDV,30.19680952
Middle East & North Africa,MEA,55.47945387
Mexico,MEX,50.27056808
Marshall Islands,MHL,
Middle income,MIC,51.39980561
North Macedonia,MKD,44.48245357
Mali,MLI,97.95884972
Malta,MLT,55.51558753
Myanmar,MMR,46.45937889
Middle East & North Africa (excluding high income),MNA,58.46528777
Montenegro,MNE,51.09030556
Mongolia,MNG,54.81138116
Northern Mariana Islands,MNP,
Mozambique,MOZ,88.4112508
Mauritania,MRT,75.01782301
Mauritius,MUS,41.45243268
Malawi,MWI,83.93713508
Malaysia,MYS,44.15828212
North America,NAC,53.5822284
Namibia,NAM,67.86148888
New Caledonia,NCL,46.64078507
Niger,NER,109.5032853
Nigeria,NGA,85.96235196
Nicaragua,NIC,54.26898591
Netherlands,NLD,55.60927671
Norway,NOR,53.33583597
Nepal,NPL,52.99376863
Nauru,NRU,
New Zealand,NZL,55.76078712
OECD members,OED,54.5064446
Oman,OMN,33.32959102
Other small states,OSS,57.15667267
Pakistan,PAK,64.38774135
Panama,PAN,53.92563583
Peru,PER,50.18939111
Philippines,PHL,55.16945504
Palau,PLW,
Papua New Guinea,PNG,63.17895426
Poland,POL,51.4168588
Pre-demographic dividend,PRE,85.42120238
Puerto Rico,PRI,57.67810915
"Korea, Dem. People's Rep.",PRK,41.22695157
Portugal,PRT,55.82690416
Paraguay,PRY,55.53184034
West Bank and Gaza,PSE,71.16588334
Pacific island small states,PSS,65.71709309
Post-demographic dividend,PST,55.50654582
French Polynesia,PYF,45.54309755
Qatar,QAT,18.10328678
Romania,ROU,53.26025214
Russian Federation,RUS,51.22001981
Rwanda,RWA,74.19641566
South Asia,SAS,51.16779476
Saudi Arabia,SAU,39.26546726
Sudan,SDN,76.90814042
Senegal,SEN,84.1610699
Singapore,SGP,34.50390716
Solomon Islands,SLB,77.62305214
Sierra Leone,SLE,76.27656004
El Salvador,SLV,54.41997408
San Marino,SMR,
Somalia,SOM,96.27873345
Serbia,SRB,52.49855078
Sub-Saharan Africa (excluding high income),SSA,82.64496907
South Sudan,SSD,80.76822704
Sub-Saharan Africa,SSF,82.64185355
Small states,SST,56.07909656
Sao Tome and Principe,STP,81.0484837
Suriname,SUR,51.05845515
Slovak Republic,SVK,47.60727487
Slovenia,SVN,55.94342712
Sweden,SWE,61.16654504
Eswatini,SWZ,70.80953748
Sint Maarten (Dutch part),SXM,
Seychelles,SYC,46.69835216
Syrian Arab Republic,SYR,55.39793075
Turks and Caicos Islands,TCA,
Chad,TCD,96.03567961
East Asia & Pacific (IDA & IBRD countries),TEA,44.15507634
Europe & Central Asia (IDA & IBRD countries),TEC,51.29779889
Togo,TGO,77.12079985
Thailand,THA,41.86456271
Tajikistan,TJK,67.9256043
Turkmenistan,TKM,55.18263305
Latin America & the Caribbean (IDA & IBRD countries),TLA,49.11123703
Timor-Leste,TLS,69.8226605
Middle East & North Africa (IDA & IBRD countries),TMN,58.30940372
Tonga,TON,68.59189077
South Asia (IDA & IBRD),TSA,51.16779476
Sub-Saharan Africa (IDA & IBRD countries),TSS,82.64185355
Trinidad and Tobago,TTO,46.14933958
Tunisia,TUN,49.61914184
Turkey,TUR,49.08267183
Tuvalu,TUV,
Tanzania,TZA,85.86675585
Uganda,UGA,92.31354613
Ukraine,UKR,49.11943575
Upper middle income,UMC,45.49690679
Uruguay,URY,54.85318328
United States,USA,53.85248134
Uzbekistan,UZB,50.57724418
St. Vincent and the Grenadines,VCT,46.65380091
"Venezuela, RB",VEN,54.40527785
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,65.97957463
Vietnam,VNM,45.05377171
Vanuatu,VUT,72.4699448
World,WLD,54.55467351
Samoa,WSM,73.25747917
Kosovo,XKX,
"Yemen, Rep.",YEM,71.7127743
South Africa,ZAF,52.23147889
Zambia,ZMB,85.69898248
Zimbabwe,ZWE,81.57149601